x,y,z
0.0,0.1,0.0
0.4,0.2,0.0
0.6,0.5,0.0
0.9,0.7,0.0
1.0,1.0,0.0
1.2,1.4,0.0
1.4,1.7,0.0
1.6,2.0,0.0
2.1,2.0,0.0
2.6,2.0,0.0
3.1,2.0,0.0
3.6,2.0,0.0
4.1,2.0,0.0
4.6,2.0,0.0
4.9,2.0,0.0
5.3,2.0,0.0
5.8,2.0,0.0
6.2,2.1,0.0
6.6,2.3,0.0
7.0,2.4,0.0
7.5,2.4,0.0
8.0,2.4,0.0
8.4,2.4,0.0
8.8,2.3,0.0
9.1,2.1,0.0
9.5,1.9,0.0
