x,y,z
0.0,0.1,0.0
0.4,0.2,0.0
0.6,0.5,0.0
0.9,0.7,0.0
1.0,1.0,0.0
1.2,1.4,0.0
1.4,1.7,0.0
1.6,2.0,0.0
2.1,2.0,0.0
2.6,2.0,0.0
2.9,1.8,0.0
3.2,1.8,0.0
3.7,1.8,0.0
4.1,1.8,0.0
4.4,1.8,0.0
4.9,1.8,0.0
5.4,1.8,0.0
5.9,1.8,0.0
6.3,1.8,0.0
