x,y,z
0.1,0.0,0.0
0.6,0.0,0.0
0.9,0.0,0.0
1.0,0.3,0.0
1.1,0.6,0.0
1.2,1.1,0.0
1.2,1.5,0.0
1.2,1.8,0.0
1.5,2.0,0.0
1.8,2.0,0.0
2.3,2.0,0.0
2.7,2.0,0.0
3.2,2.0,0.0
3.7,2.0,0.0
4.2,2.0,0.0
4.7,2.0,0.0
5.1,2.1,0.0
5.5,2.2,0.0
5.9,2.3,0.0
6.4,2.2,0.0
