x,y,z
3.1,3.0,0.0
3.1,2.6,0.0
3.1,2.3,0.0
3.4,2.0,0.0
3.8,2.0,0.0
4.4,2.0,0.0
4.7,1.9,0.0
4.9,1.6,0.0
5.4,1.5,0.0
5.9,1.5,0.0
6.4,1.5,0.0
6.8,1.5,0.0
7.4,1.5,0.0
