Laser_X,Laser_Y
-0.2589605550694692,-0.004520248568826525
-0.2589113308045003,-0.0067767625053684645
-0.25884244424607217,-0.009032761799725102
-0.25875390062558085,-0.011288075126369543
-0.25864570666722286,-0.013542531211868785
-0.2585178705874843,-0.015795958847890583
-0.25837040209451706,-0.018048186904205413
-0.2582033123874013,-0.020299044341682455
-0.2580166141552955,-0.02254836022527868
-0.25781032157647205,-0.024795963737020043
-0.2575844503172413,-0.027041684188973767
-0.25733901753076127,-0.029285351036210758
-0.25707404185573524,-0.031526793889757154
-0.25678954341499627,-0.03376584252953406
-0.256485543813979,-0.03600232691728441
-0.25715109611920567,-0.038383704948645896
-0.25680684089446704,-0.04062316470559037
-0.2564430831958417,-0.04285953945044517
-0.2560598506478857,-0.045092659348014666
-0.25565717235411817,-0.04732235481028347
-0.25523507889481045,-0.04954845650929528
-0.25577359434291475,-0.05196991721174464
-0.25628918617744917,-0.0544045050991195
-0.25580535203722277,-0.05663584550169473
-0.25530209147836663,-0.05886288485413397
-0.25477944271958963,-0.061085454030191715
-0.25423744545198307,-0.06330338424309748
-0.2546443867913651,-0.06576657430064355
-0.2540616015026609,-0.06798314983505509
-0.2544232341891428,-0.07046145860984246
-0.2547608937411185,-0.07295121272820576
-0.25411549422333307,-0.07516853074206364
-0.2544072309604746,-0.07767214578115679
-0.2546745297241921,-0.08018652277779792
-0.25396608210783106,-0.082402813448517
-0.2532383477510266,-0.08461284626912634
-0.2543827070378929,-0.08746676526015183
-0.2536108275653045,-0.0896802364327968
-0.25375955440475295,-0.09222848986009044
-0.25294620302635334,-0.09443634982421985
-0.2521136423593611,-0.09663703808513452
-0.2531231388513148,-0.0995624659168306
-0.2522459004454549,-0.1017645014228621
-0.25227357305207593,-0.10434100527094452
-0.25227542622451626,-0.10692569061354358
-0.2513340539300614,-0.10912005922389136
-0.25220114304134644,-0.11211859628105306
-0.2530349193270297,-0.11514047077563479
-0.2520219313226108,-0.11734114598763935
-0.25189266053552456,-0.1199628918355657
-0.2517367396086104,-0.1225912500906924
-0.25065887183445584,-0.12478032953254238
-0.25223583883641515,-0.12832021387237766
-0.2519953501974188,-0.13097461112875536
-0.2508444166513581,-0.13316562588103698
-0.25143270759459985,-0.13629967420603967
-0.2511103283019178,-0.13896979273859328
-0.2498897551593096,-0.1411527914712452
-0.25124932825546137,-0.144823237815215
-0.2517017285407079,-0.14802107060605835
-0.250402256496125,-0.15020887934936708
-0.25078982504622643,-0.15342901783265453
-0.2519885925298424,-0.15719651348946953
-0.25060915112338183,-0.15938647367839553
-0.2508888677445296,-0.16265230723173726
-0.2511305691753925,-0.16593503744396917
-0.2496750093655123,-0.16811718866379907
-0.24902506441619862,-0.17085230153623526
-0.25162487898767366,-0.1758804342578278
-0.2500826322532888,-0.17806651545293348
-0.25014040467341564,-0.18141325464782468
-0.2501587402964301,-0.18477445204427934
-0.2485390432141532,-0.18694741900639797
-0.248488259186793,-0.19032230824726357
-0.2507630915867665,-0.195555272930798
-0.24904942318297274,-0.19773309709156053
-0.2496500355693883,-0.20178172864721197
-0.2501987983319015,-0.20585568229041776
-0.24839538947898374,-0.20802819785684085
-0.24809517629365938,-0.2114823556806697
-0.25001954086118916,-0.21691295338313307
-0.24811978134386536,-0.21908348697176047
-0.24992022656084673,-0.22457933411524456
-0.2501675284250805,-0.2287732472764464
-0.24816440795649106,-0.23094462013939152
-0.24904678293051374,-0.23584888448697058
-0.24842217657610013,-0.23939803959650305
-0.24632653370196222,-0.24155379933222326
-0.24987506588026573,-0.2493420161450433
-0.24769271206006885,-0.2515100593540346
-0.24827332758082882,-0.25653333125634625
-0.24878499258388823,-0.26158560453102914
-0.24991005318185075,-0.26739663961114196
-0.24757036284233835,-0.2695643021596134
-0.24655182977681608,-0.2731962586861909
-0.24416172675865588,-0.27533443611844066
-0.2470085743994988,-0.28348325257663065
-0.24908120680195298,-0.29094250636208335
-0.24653635985941408,-0.293102051950234
-0.24715782983901116,-0.2990936576223003
-0.24832358999809925,-0.3058944095038942
-0.24564847497486064,-0.30804678517687123
-0.24665453026522127,-0.31489926558824277
-0.2457302588542274,-0.3194145231160442
-0.24293742263946988,-0.32154378609344497
-0.2454887577009337,-0.33087651810813967
-0.24789547641400617,-0.3402775866633711
-0.2449207489256131,-0.3424249260169182
-0.24652460942834867,-0.351093447046668
-0.24742815026355933,-0.35899206301742875
-0.24429035510796387,-0.3611346192953273
-0.24555849429189025,-0.3699148969185703
-0.24232558419748462,-0.3720407455165692
-0.24338190852363376,-0.3808795603480063
-0.24536446030016573,-0.391459184433249
-0.2419438120580999,-0.3935825240814573
-0.24056975535464267,-0.3991017215479895
-0.24318782001149064,-0.41151387591005123
-0.23959248983756518,-0.4136174859479353
-0.24437153171073736,-0.4304736451979796
-0.2459578322876458,-0.4421998720959472
-0.24209498692202133,-0.4443264559448785
-0.24245076162318316,-0.4543595640614055
-0.2435758944904863,-0.46620468434104045
-0.23950395206030922,-0.4683095995448553
-0.24167958736616774,-0.4828985403009676
-0.23746224002089336,-0.484986296444081
-0.23840966292203938,-0.49786023878090657
-0.24084647891426295,-0.5144093649229136
-0.23635456530771598,-0.516488664526139
-0.23837552779774024,-0.5331351589626447
-0.24012383907453647,-0.5498550450058053
-0.2353230651120161,-0.5519267013259241
-0.23665119405327953,-0.568728589259335
-0.23845613070785132,-0.5874475959268595
-0.23332782358578136,-0.589503291740707
-0.2353799540796264,-0.6101739560447283
-0.2363854733807322,-0.6290515843697189
