x,y,th
0.002887725830078125,-0.0013580322265625,-0.05515058821812277
0.00232696533203125,-0.00650787353515625,-0.10028447619460572
0.00217437744140625,-0.0077972412109375,0.5251570952435727
0.003009796142578125,-0.00464630126953125,0.15686392366236998
0.00354766845703125,-0.00081634521484375,-0.14793188016708494
0.001514434814453125,-0.001430511474609375,-0.24814442996324165
0.001689910888671875,-0.004150390625,0.392410253898112
-0.000583648681640625,-0.000827789306640625,-0.11711406075608141
-0.00269317626953125,-0.00565338134765625,-0.17126380486268433
-0.000988006591796875,-0.00450897216796875,-0.1344081121832799
0.0025634765625,-0.009632110595703125,0.05303908614791414
0.00084686279296875,-0.00353240966796875,0.022663954752761756
-0.000438690185546875,-0.002590179443359375,-0.04665383411246344
-0.0018157958984375,-0.005489349365234375,0.5137301427154715
0.00226593017578125,-0.00400543212890625,0.03233594420914212
0.003143310546875,-0.001926422119140625,-0.16885957078256658
0.00475311279296875,-0.001220703125,0.19100204289343048
0.00020599365234375,-0.0012969970703125,0.11087497932428211
-0.00049591064453125,-0.003719329833984375,0.3057528789394037
-0.00019073486328125,-0.00209808349609375,0.3133843889886254
-0.00421905517578125,-0.0061798095703125,0.11401965958836598
-0.001873016357421875,-0.006977081298828125,0.45257314363521145
-0.00278472900390625,-0.0036773681640625,-0.18713716374854933
0.000720977783203125,-0.004802703857421875,0.4238307257088341
-0.00717926025390625,-0.00333404541015625,0.2510565797463066
-0.00421142578125,-0.0059814453125,0.07337897317084797
0.00243377685546875,-0.00258636474609375,0.32907461409424865
0.00687408447265625,-0.006038665771484375,-0.19440448424572535
-0.000732421875,-0.004909515380859375,-0.005454133248643022
0.00127410888671875,-0.011173248291015625,0.02272833628677549
0.005535125732421875,-0.000518798828125,-0.11044779921115111
0.00118255615234375,-0.001995086669921875,0.0231952820839329
0.0062255859375,-0.0063323974609375,0.020133773295057167
-0.00257110595703125,-0.01213836669921875,0.49761920585360053
0.00189971923828125,-0.01007080078125,0.08514692881719424
-0.00414276123046875,-0.007854461669921875,0.1482326350229169
0.006114959716796875,-0.002498626708984375,-0.3498869313969055
-0.00197601318359375,-0.0008697509765625,0.13371802877420835
0.01016998291015625,-0.00223541259765625,0.12692650965017213
0.009063720703125,-0.00138092041015625,0.046327839356168896
0.005046844482421875,-0.005535125732421875,0.24523975070892165
-0.00019073486328125,-0.007694244384765625,0.3053270074771268
0.000324249267578125,-0.006534576416015625,-0.0918150457465804
