x,y,th
0.1,0.0,-0.0
0.3,-0.0,-0.6
0.8,-0.0,0.4
1.2,-0.1,25.0
1.3,0.2,78.2
1.3,1.3,90.1
1.3,1.8,37.5
1.7,1.9,8.0
2.2,2.0,18.1
3.0,2.2,19.7
3.6,2.4,19.6
4.4,2.7,19.9
4.8,2.8,10.9
5.6,2.7,-4.3
6.5,2.4,-30.1
7.4,1.7,-39.4
7.8,1.3,-44.2
8.3,0.7,-34.0
8.5,0.6,19.3
8.7,1.1,42.6
8.6,1.2,43.2
8.5,1.1,40.1
8.5,1.1,40.0
8.5,1.1,40.0
